DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
22-Apr-26,810,813.05,798,799.9,23876412
21-Apr-26,795.2,814.9,795.2,811.75,49135752
20-Apr-26,797.1,809.95,790,795.45,52148044
17-Apr-26,790.1,803.95,788.2,799.9,37282544
16-Apr-26,818,820.05,792.2,795.45,62861293
15-Apr-26,804.95,814.8,804,809.9,39769515
13-Apr-26,791.5,798.5,787.35,794.7,47549328
10-Apr-26,804,812.25,801,810.3,38156026
09-Apr-26,815,819,793.1,797.7,48879392
08-Apr-26,800,817.8,796,816.1,70269512
07-Apr-26,766,774,761,772,51309793
06-Apr-26,759,772.75,745,771,42976659
02-Apr-26,730,755,726.65,750.9,49310300
01-Apr-26,743,755.9,739.1,742.25,78862761
30-Mar-26,745.2,751,726.65,731.55,103500135
27-Mar-26,773.2,774.9,754.55,756.2,65485199
25-Mar-26,768.2,794.8,768.2,782.3,59230640
24-Mar-26,755,772.75,747.7,764.9,61269986
23-Mar-26,763.15,768.7,741.05,744.15,72341738
20-Mar-26,785,793.75,778.2,780.45,103129469
19-Mar-26,770,815.65,770,798.2,171637393
18-Mar-26,845.35,846.8,831.6,843.05,23507063
17-Mar-26,847.7,848.9,835.1,845.35,38826979
16-Mar-26,817,844.5,815.65,840.6,52182605
13-Mar-26,820,823.8,812,817,41700464
12-Mar-26,820.1,836.4,820.1,832.75,46107561
11-Mar-26,845,848.85,827.6,833.95,42261076
10-Mar-26,850.05,856.8,840.6,849.45,52866024
09-Mar-26,825,842.45,821.5,840.7,35592613
06-Mar-26,868.05,871.7,855.1,857.05,34439647
05-Mar-26,873.85,881.4,863.5,877.75,31324582
04-Mar-26,848,879.3,848,868.65,39862322
02-Mar-26,876.2,887.75,871.55,879.4,38378924
27-Feb-26,898.6,898.95,885,887.75,34620755
26-Feb-26,912,912,895,898.6,41165937
25-Feb-26,910.55,916,903.1,907.6,27884303
24-Feb-26,927.95,927.95,909.15,910.5,31313985
23-Feb-26,916.5,925.65,915.25,923.6,23270122
20-Feb-26,911,917.85,908.4,911.85,22654907
19-Feb-26,929,929.2,912.45,915.6,21209234
18-Feb-26,923.2,925.5,919.55,924.7,12738702
17-Feb-26,923,928.1,918.6,925.7,22599629
16-Feb-26,903.9,929.5,902.1,925.8,18806989
13-Feb-26,913,928.2,901,903.9,50188359
12-Feb-26,927,928.6,918.5,920.6,33872203
11-Feb-26,931.25,936,925.3,927.1,24869804
10-Feb-26,930,940.9,929.95,932.4,31525385
09-Feb-26,945,950,935.35,937.25,23947829
06-Feb-26,945,948.1,937.6,941.1,18120272
05-Feb-26,956,956.05,946.7,949.7,28103169
04-Feb-26,952.5,957.2,947.95,953.1,24366770
03-Feb-26,983.75,994,945,948.7,50336968
02-Feb-26,915,929.8,909.3,928.1,28032106
01-Feb-26,932,939.65,912.65,922.1,9856486
30-Jan-26,930,938.9,927.75,929.25,29691233
29-Jan-26,930.1,939.3,924.35,935.5,37175628
28-Jan-26,932.5,941.45,928.4,932.7,35347138
27-Jan-26,906,931.2,905,926.4,44753093
23-Jan-26,920,926.1,909.25,916.1,30985247
22-Jan-26,928,928.3,913.2,918.7,44444755
21-Jan-26,925,932.15,915.5,920.35,32766854
20-Jan-26,929.3,934.5,919.6,931.2,36022727
19-Jan-26,935.9,936.15,919.5,927.9,38191942
16-Jan-26,922,935.95,919.2,931.1,37780235
14-Jan-26,930,940.05,920.2,925.45,36688248
13-Jan-26,947.7,947.7,932.6,937.35,32042827
12-Jan-26,937.5,942,929.6,936.95,21071666
09-Jan-26,945,950.6,933.3,939,38183839
08-Jan-26,944.7,953,941.4,946.7,21928849
07-Jan-26,956,956.45,946,949.05,52884712
06-Jan-26,962.7,966.7,956,962.2,31988783
05-Jan-26,"1,005.75","1,006.40",976.3,977.5,27647379
02-Jan-26,991.15,"1,003.20",988.8,"1,001.60",11751459
01-Jan-26,993.5,997.55,989.5,991.15,7132074
31-Dec-25,991,997.6,987.6,991.2,10963454
30-Dec-25,990.2,995,982.2,990.9,33155849
29-Dec-25,993.1,997.4,987.2,991.7,13545749
26-Dec-25,996,997.2,987.7,992.1,9360853
24-Dec-25,993,999.4,993,997.2,13699996
23-Dec-25,990.5,998.9,987.7,996.6,17927849
22-Dec-25,988,992.9,983.9,987.7,13540411
19-Dec-25,987,988,978.7,985.5,25952384
18-Dec-25,973.3,987.4,973.3,979.7,14912404
17-Dec-25,996,996,980.8,984,19080922
16-Dec-25,990.1,998.7,990.1,994.3,20049088
15-Dec-25,992,"1,001.80",992,996.1,9790060
12-Dec-25,"1,003.00","1,004.70",998.2,"1,001.50",11988618
