DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
22-Apr-26,"1,295.00","1,297.70","1,255.90","1,268.60",20088378
21-Apr-26,"1,310.00","1,325.00","1,299.30","1,313.20",10057440
20-Apr-26,"1,320.00","1,324.90","1,308.10","1,312.60",7172300
17-Apr-26,"1,313.00","1,328.30","1,306.10","1,318.70",12064048
16-Apr-26,"1,322.10","1,331.00","1,309.00","1,319.20",18527029
15-Apr-26,"1,306.30","1,322.50","1,300.50","1,305.30",12098912
13-Apr-26,"1,272.00","1,289.00","1,265.70","1,276.80",10366082
10-Apr-26,"1,318.00","1,318.90","1,283.30","1,292.50",19233369
09-Apr-26,"1,329.90","1,337.50","1,314.00","1,331.60",14894607
08-Apr-26,"1,349.00","1,376.90","1,331.00","1,346.20",16030133
07-Apr-26,"1,302.00","1,345.10","1,293.50","1,339.40",15355792
06-Apr-26,"1,301.40","1,320.00","1,299.00","1,306.20",10208682
02-Apr-26,"1,260.00","1,305.40","1,259.80","1,300.80",12873492
01-Apr-26,"1,290.00","1,303.00","1,269.50","1,275.70",8137156
30-Mar-26,"1,250.00","1,265.50","1,243.00","1,250.60",14108486
27-Mar-26,"1,285.20","1,294.80","1,263.20","1,269.70",13092541
25-Mar-26,"1,270.00","1,290.60","1,257.10","1,279.10",10824030
24-Mar-26,"1,269.00","1,297.00","1,251.00","1,278.30",13613495
23-Mar-26,"1,238.20","1,261.10","1,227.40","1,256.80",12420293
20-Mar-26,"1,242.00","1,264.80","1,229.20","1,255.90",27299975
19-Mar-26,"1,244.20","1,255.00","1,215.10","1,220.80",9156461
18-Mar-26,"1,238.00","1,290.80","1,234.90","1,267.10",12365381
17-Mar-26,"1,245.00","1,245.00","1,215.10","1,232.90",11223276
16-Mar-26,"1,240.20","1,254.30","1,224.20","1,249.80",12314450
13-Mar-26,"1,251.00","1,269.60","1,242.60","1,248.30",7366098
12-Mar-26,"1,272.50","1,278.60","1,258.00","1,265.80",7599940
11-Mar-26,"1,288.00","1,299.50","1,271.30","1,276.30",7868891
10-Mar-26,"1,320.00","1,321.00","1,284.10","1,295.60",9600171
09-Mar-26,"1,290.00","1,318.00","1,282.50","1,315.00",10068514
06-Mar-26,"1,303.00","1,327.20","1,303.00","1,308.40",8724291
05-Mar-26,"1,320.00","1,320.00","1,290.10","1,305.80",10362147
04-Mar-26,"1,292.00","1,317.00","1,292.00","1,307.40",15154950
02-Mar-26,"1,291.00","1,298.80","1,273.00","1,288.90",9700361
27-Feb-26,"1,326.30","1,335.00","1,294.20","1,300.10",23141724
26-Feb-26,"1,305.50","1,314.00","1,286.30","1,289.10",11493914
25-Feb-26,"1,286.20","1,323.60","1,286.20","1,290.10",16669618
24-Feb-26,"1,301.00","1,303.60","1,264.10","1,275.50",27839061
23-Feb-26,"1,352.00","1,352.00","1,318.00","1,327.50",12887826
20-Feb-26,"1,359.20","1,365.00","1,338.20","1,353.20",12633552
19-Feb-26,"1,385.00","1,402.00","1,363.20","1,370.50",14574228
18-Feb-26,"1,390.90","1,401.00","1,345.30","1,373.70",20241373
17-Feb-26,"1,370.00","1,431.00","1,367.00","1,391.20",25347684
16-Feb-26,"1,373.70","1,376.00","1,338.30","1,365.60",14621891
13-Feb-26,"1,293.90","1,377.30","1,281.50","1,369.10",45785709
12-Feb-26,"1,428.90","1,435.70","1,380.50","1,386.00",26048896
11-Feb-26,"1,501.20","1,505.90","1,469.00","1,471.90",7934411
10-Feb-26,"1,500.00","1,515.90","1,491.00","1,497.80",8657000
09-Feb-26,"1,522.10","1,528.00","1,493.00","1,497.20",8294615
06-Feb-26,"1,522.10","1,525.00","1,480.00","1,507.10",13900866
05-Feb-26,"1,534.00","1,551.00","1,515.70","1,520.20",10628127
04-Feb-26,"1,574.00","1,584.90","1,510.10","1,535.80",28828622
03-Feb-26,"1,727.20","1,728.00","1,653.00","1,656.00",8805868
02-Feb-26,"1,662.00","1,662.00","1,618.00","1,629.40",6784887
01-Feb-26,"1,630.00","1,677.30","1,604.00","1,654.50",6241188
30-Jan-26,"1,655.00","1,655.00","1,618.10","1,641.00",9207926
29-Jan-26,"1,658.00","1,666.50","1,642.10","1,659.50",4749582
28-Jan-26,"1,680.00","1,688.80","1,650.00","1,666.50",8588664
27-Jan-26,"1,685.80","1,689.40","1,661.10","1,682.70",10673087
23-Jan-26,"1,667.20","1,675.70","1,662.20","1,670.80",5869137
22-Jan-26,"1,666.00","1,671.20","1,653.80","1,663.50",6228892
21-Jan-26,"1,651.00","1,657.00","1,631.20","1,654.40",6224582
20-Jan-26,"1,673.00","1,680.20","1,652.90","1,658.90",6406503
19-Jan-26,"1,685.00","1,685.00","1,666.50","1,681.20",5104958
16-Jan-26,"1,663.70","1,694.00","1,653.40","1,689.80",19335957
14-Jan-26,"1,588.00","1,617.00","1,583.10","1,599.80",7557157
13-Jan-26,"1,618.00","1,618.00","1,586.40","1,599.00",8080618
12-Jan-26,"1,610.10","1,613.30","1,592.60","1,595.90",6985362
09-Jan-26,"1,610.00","1,631.30","1,607.00","1,614.10",6816681
08-Jan-26,"1,638.90","1,644.30","1,608.60","1,613.30",3942131
07-Jan-26,"1,615.00","1,642.00","1,615.00","1,639.00",4508079
06-Jan-26,"1,600.10","1,619.90","1,599.00","1,612.20",4466729
05-Jan-26,"1,637.00","1,637.00","1,583.10","1,606.40",5917885
