DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
22-Apr-26,"1,350.30","1,366.00","1,349.10","1,362.10",9525953
21-Apr-26,"1,359.00","1,369.80","1,350.10","1,353.30",27293629
20-Apr-26,"1,363.20","1,373.00","1,352.80","1,363.30",13614733
17-Apr-26,"1,340.00","1,368.40","1,340.00","1,365.00",13869105
16-Apr-26,"1,352.00","1,353.80","1,330.00","1,343.30",30211012
15-Apr-26,"1,337.00","1,347.00","1,334.20","1,344.10",15313779
13-Apr-26,"1,321.20","1,327.60","1,310.00","1,315.10",28753269
10-Apr-26,"1,337.00","1,352.30","1,331.50","1,350.20",19364461
09-Apr-26,"1,346.00","1,350.00","1,326.30","1,330.00",20725390
08-Apr-26,"1,349.00","1,350.60","1,326.20","1,347.80",21817543
07-Apr-26,"1,295.00","1,308.30","1,291.00","1,304.60",28388922
06-Apr-26,"1,359.00","1,359.00","1,290.00","1,304.70",29274881
02-Apr-26,"1,357.00","1,358.20","1,328.00","1,350.50",21280051
01-Apr-26,"1,384.20","1,384.40","1,362.90","1,369.20",14404619
30-Mar-26,"1,335.00","1,365.00","1,334.10","1,343.90",24393861
27-Mar-26,"1,401.00","1,404.70","1,345.00","1,348.10",23266517
25-Mar-26,"1,420.00","1,430.50","1,408.40","1,413.10",19041331
24-Mar-26,"1,420.00","1,422.40","1,406.60","1,411.80",18620893
23-Mar-26,"1,400.00","1,415.60","1,391.00","1,407.80",18979554
20-Mar-26,"1,398.00","1,430.00","1,396.10","1,414.40",22994918
19-Mar-26,"1,388.00","1,415.70","1,376.10","1,384.80",16498373
18-Mar-26,"1,397.20","1,412.90","1,397.20","1,408.10",9559327
17-Mar-26,"1,399.00","1,405.90","1,388.20","1,397.60",19007744
16-Mar-26,"1,380.00","1,397.30","1,363.50","1,395.10",22837802
13-Mar-26,"1,385.20","1,400.80","1,378.40","1,380.70",17265090
12-Mar-26,"1,390.00","1,410.90","1,381.10","1,392.20",20939959
11-Mar-26,"1,424.90","1,434.00","1,383.60","1,390.20",21848087
10-Mar-26,"1,430.60","1,431.50","1,400.60","1,408.80",18071259
09-Mar-26,"1,375.00","1,429.40","1,370.00","1,424.00",24870822
06-Mar-26,"1,396.50","1,424.30","1,390.30","1,404.80",19311971
05-Mar-26,"1,353.10","1,399.00","1,353.10","1,389.40",25957532
04-Mar-26,"1,330.00","1,352.80","1,307.00","1,345.00",32495007
02-Mar-26,"1,375.50","1,378.60","1,341.50","1,358.00",23728722
27-Feb-26,"1,398.00","1,410.40","1,388.10","1,393.90",12031440
26-Feb-26,"1,398.50","1,412.90","1,391.90","1,406.80",16683858
25-Feb-26,"1,435.00","1,440.50","1,393.50","1,398.50",10728792
24-Feb-26,"1,425.30","1,433.30","1,415.00","1,428.80",12529409
23-Feb-26,"1,425.00","1,434.90","1,418.30","1,428.00",7758856
20-Feb-26,"1,409.50","1,427.40","1,406.10","1,419.40",8177670
