DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
22-Apr-26,"2,580.00","2,580.00","2,503.60","2,538.50",5232045
21-Apr-26,"2,560.00","2,614.00","2,560.00","2,610.50",2719959
20-Apr-26,"2,587.10","2,594.00","2,561.20","2,579.60",2288558
17-Apr-26,"2,570.00","2,589.00","2,555.90","2,581.50",2718206
16-Apr-26,"2,572.00","2,594.00","2,558.00","2,576.90",3905403
15-Apr-26,"2,501.90","2,559.00","2,493.40","2,554.90",5261384
13-Apr-26,"2,489.90","2,504.90","2,470.00","2,472.60",3739587
10-Apr-26,"2,565.80","2,565.80","2,501.10","2,524.30",10480239
09-Apr-26,"2,554.00","2,605.00","2,531.10","2,589.00",5628261
08-Apr-26,"2,572.00","2,580.30","2,540.10","2,559.20",4769337
07-Apr-26,"2,461.00","2,543.90","2,448.00","2,539.80",4516550
06-Apr-26,"2,474.00","2,482.00","2,448.20","2,473.90",2572417
02-Apr-26,"2,386.00","2,469.90","2,375.70","2,450.70",5378361
01-Apr-26,"2,429.00","2,472.00","2,397.90","2,408.20",4132661
30-Mar-26,"2,375.10","2,398.00","2,346.20","2,358.90",6804756
27-Mar-26,"2,403.90","2,422.10","2,385.00","2,389.80",4979411
25-Mar-26,"2,400.90","2,421.60","2,369.80","2,377.40",5843778
24-Mar-26,"2,404.10","2,435.40","2,379.10","2,398.80",3420182
23-Mar-26,"2,365.00","2,406.80","2,348.00","2,383.80",3860515
20-Mar-26,"2,386.00","2,407.80","2,364.20","2,390.60",4206320
19-Mar-26,"2,417.00","2,424.00","2,350.20","2,356.00",2757060
18-Mar-26,"2,410.00","2,482.90","2,410.00","2,440.80",3082388
17-Mar-26,"2,420.00","2,420.00","2,360.00","2,391.70",2993367
16-Mar-26,"2,410.00","2,425.00","2,366.10","2,409.20",3807907
13-Mar-26,"2,437.00","2,445.90","2,397.00","2,410.50",2466488
12-Mar-26,"2,459.80","2,472.90","2,436.00","2,442.40",2752075
11-Mar-26,"2,508.10","2,521.00","2,460.10","2,464.90",2720664
10-Mar-26,"2,541.00","2,545.20","2,490.10","2,513.10",4323710
09-Mar-26,"2,530.00","2,560.00","2,505.00","2,527.40",3653428
06-Mar-26,"2,572.00","2,619.20","2,553.60","2,557.60",3998643
05-Mar-26,"2,600.00","2,609.50","2,546.40","2,578.80",2960636
04-Mar-26,"2,625.00","2,635.00","2,580.40","2,587.80",3446434
02-Mar-26,"2,592.00","2,623.80","2,580.30","2,613.50",3374385
27-Feb-26,"2,681.60","2,688.60","2,626.10","2,637.40",5083717
26-Feb-26,"2,650.00","2,671.00","2,635.00","2,647.70",3464267
25-Feb-26,"2,596.00","2,654.20","2,595.00","2,629.30",3621285
24-Feb-26,"2,641.00","2,647.50","2,561.30","2,573.70",7798833
23-Feb-26,"2,686.00","2,704.00","2,660.20","2,676.30",4699596
20-Feb-26,"2,667.00","2,702.60","2,647.50","2,686.20",2293482
19-Feb-26,"2,708.00","2,748.70","2,666.60","2,677.90",3238849
18-Feb-26,"2,730.00","2,730.00","2,657.30","2,694.90",2950820
17-Feb-26,"2,716.00","2,760.00","2,695.20","2,717.40",4209118
16-Feb-26,"2,700.00","2,719.80","2,671.00","2,706.60",2918730
13-Feb-26,"2,585.00","2,713.00","2,585.00","2,692.20",11168735
12-Feb-26,"2,869.80","2,880.00","2,740.00","2,750.10",10612156
11-Feb-26,"2,980.00","2,998.00","2,904.20","2,909.80",3363513
10-Feb-26,"2,949.80","3,011.60","2,943.50","2,984.60",3547763
09-Feb-26,"2,959.10","2,977.00","2,937.50","2,948.20",2380318
06-Feb-26,"2,976.60","2,985.00","2,916.00","2,941.60",4687389
05-Feb-26,"2,990.00","3,029.70","2,972.30","2,991.50",3521545
04-Feb-26,"3,120.00","3,120.00","2,986.00","2,999.10",10852595
03-Feb-26,"3,350.00","3,350.00","3,186.30","3,225.30",4366060
02-Feb-26,"3,198.00","3,198.00","3,134.00","3,169.60",2636272
01-Feb-26,"3,123.80","3,234.00","3,105.20","3,186.90",3012937
30-Jan-26,"3,141.00","3,141.00","3,092.00","3,123.90",3022068
29-Jan-26,"3,200.10","3,200.10","3,125.60","3,144.40",2457641
28-Jan-26,"3,176.00","3,205.20","3,170.60","3,200.10",2751234
27-Jan-26,"3,175.00","3,175.00","3,130.00","3,158.00",4279874
23-Jan-26,"3,190.30","3,194.50","3,152.00","3,162.50",2068857
22-Jan-26,"3,150.00","3,160.00","3,122.30","3,150.40",2269827
21-Jan-26,"3,100.00","3,138.50","3,082.00","3,122.60",2015150
20-Jan-26,"3,151.60","3,160.00","3,091.10","3,102.30",4499273
19-Jan-26,"3,188.00","3,220.00","3,152.10","3,163.60",3387562
16-Jan-26,"3,219.40","3,221.90","3,171.00","3,206.70",4293470
14-Jan-26,"3,260.00","3,260.00","3,183.00","3,192.50",3539511
13-Jan-26,"3,245.00","3,280.00","3,210.50","3,268.00",5645341
12-Jan-26,"3,203.00","3,252.00","3,174.30","3,239.60",2228342
09-Jan-26,"3,191.00","3,229.70","3,191.00","3,207.80",1938673
08-Jan-26,"3,286.90","3,286.90","3,182.00","3,203.90",4159336
07-Jan-26,"3,242.90","3,300.60","3,223.20","3,295.60",1989442
06-Jan-26,"3,210.00","3,263.20","3,205.00","3,255.80",2912325
05-Jan-26,"3,240.50","3,247.00","3,191.00","3,216.10",2341703
02-Jan-26,"3,234.00","3,254.30","3,219.50","3,250.70",1184324
01-Jan-26,"3,215.00","3,234.10","3,198.20","3,227.40",1255735
31-Dec-25,"3,240.00","3,246.00","3,198.50","3,206.20",3362634
30-Dec-25,"3,250.00","3,267.50","3,239.50","3,246.80",2807593
29-Dec-25,"3,280.00","3,288.00","3,242.90","3,251.50",2079473
26-Dec-25,"3,313.10","3,320.00","3,271.80","3,280.00",1176664
24-Dec-25,"3,304.10","3,327.10","3,296.10","3,319.00",1367708
23-Dec-25,"3,319.90","3,319.90","3,293.50","3,310.00",2365420
22-Dec-25,"3,310.00","3,328.60","3,291.00","3,324.90",2632816
19-Dec-25,"3,299.00","3,317.90","3,278.80","3,282.00",3902511
18-Dec-25,"3,228.00","3,287.80","3,221.00","3,280.80",2307422
17-Dec-25,"3,200.50","3,236.90","3,200.50","3,217.80",1376350
16-Dec-25,"3,220.00","3,220.00","3,191.10","3,205.10",1734623
15-Dec-25,"3,211.10","3,238.20","3,197.30","3,230.20",1562190
12-Dec-25,"3,197.70","3,223.00","3,185.70","3,220.50",1146554
11-Dec-25,"3,205.00","3,208.40","3,153.10","3,191.90",1914362
10-Dec-25,"3,225.00","3,225.00","3,178.10","3,189.20",1386849
09-Dec-25,"3,230.00","3,233.70","3,181.20","3,208.30",2734893
08-Dec-25,"3,243.00","3,259.90","3,208.60","3,236.50",2544725
05-Dec-25,"3,230.00","3,271.60","3,222.40","3,238.20",5244013
04-Dec-25,"3,194.00","3,250.00","3,187.40","3,229.20",5025905
03-Dec-25,"3,140.00","3,211.90","3,139.00","3,180.00",3952112
02-Dec-25,"3,131.00","3,144.00","3,120.40","3,135.70",2512003
01-Dec-25,"3,137.90","3,154.00","3,122.20","3,133.40",1747647
28-Nov-25,"3,140.00","3,147.30","3,125.00","3,137.50",1616690
27-Nov-25,"3,180.00","3,180.00","3,125.00","3,136.60",2836233
26-Nov-25,"3,118.80","3,178.00","3,117.00","3,162.90",2508527
25-Nov-25,"3,145.30","3,149.80","3,115.00","3,119.20",2737920
24-Nov-25,"3,158.00","3,178.90","3,131.00","3,141.20",6703764
21-Nov-25,"3,144.80","3,170.00","3,135.20","3,150.60",4177037
20-Nov-25,"3,148.00","3,164.50","3,138.10","3,144.80",2700767
19-Nov-25,"3,097.00","3,155.00","3,083.50","3,147.70",3151053
18-Nov-25,"3,102.00","3,105.00","3,078.00","3,087.10",2548350
17-Nov-25,"3,106.00","3,123.50","3,086.60","3,102.20",2232853
14-Nov-25,"3,090.00","3,113.10","3,077.30","3,106.00",2210794
13-Nov-25,"3,131.80","3,131.90","3,102.00","3,105.70",1740435
